,STATEFP,COUNTYFP,NAME,NAMELSAD,ALAND,STATENAME,POP,PWPD,PWPD_A,PWPD_A_ERR,PWPD_ALPHA1,PWPD_ALPHA1_ERR,PWPD_ALPHA2,PWPD_ALPHA2_ERR,PWPD_XBREAK,PWPD_XBREAK_ERR,PWPD_DELTA,PWPD_DELTA_ERR
0,31,039,Cuming,Cuming County,1477652222,Nebraska,8560.6708984375,583.3882132896318,363.1544480326146,12.07247969213283,0.3600838657760446,0.02089874947794067,1.1166345021154047,0.0394374963597364,0.8064395905952579,0.0361528362552566,0.1,0.0
1,53,069,Wahkiakum,Wahkiakum County,680962890,Washington,4015.3125,299.60824966923497,64.07059007849477,16.005694906953753,0.8081483587353945,0.01738987079266898,1.0904622608115009,0.11578413499710999,1.6442945365289372,0.4704089490464857,0.1,0.0
2,35,011,De Baca,De Baca County,6016819475,New Mexico,1901.6861572265625,285.86357976798064,66.34389030116431,22.158446774229574,0.6482749316184089,0.03530983614107883,1.4055426184547863,0.42475375795968695,2.155545143562736,0.9008398504473638,0.1,0.0
3,31,109,Lancaster,Lancaster County,2169270569,Nebraska,301687.625,3129.6800059332895,583.0226498796609,160.64627415328928,0.364051311097392,0.023208331238869753,1.8232362146870813,1.194892691951885,17.287880242106777,7.8303047671310715,0.1,0.0
4,31,129,Nuckolls,Nuckolls County,1489645188,Nebraska,4198.048828125,395.1095063229244,114.37162298295563,35.19288084679918,0.49222837569493616,0.034085841937764774,2.1723549044448642,1.1962404598598788,2.4798033792831338,0.977989814257893,0.1,0.0
5,72,085,Las Piedras,Las Piedras Municipio,87748359,Puerto Rico,40587.41796875,1972.246080340284,364.8426901640915,117.208057852983,0.49592333359810004,0.028625822425494732,1.2059685345008617,0.7607539997737098,6.525013627855961,3.292819753953689,0.1,0.0
6,46,099,Minnehaha,Minnehaha County,2089691755,South Dakota,179769.0625,2124.4016667217143,603.8529732589062,53.056840623267156,0.32785697181836243,0.013181085584590182,1.6818347805856126,0.3320253881192519,8.319578180287133,1.1951456058477834,0.1,0.0
7,48,327,Menard,Menard County,2336237982,Texas,2164.54150390625,380.49680429489774,129.3542087439657,18.06301811333314,0.6386317387534739,0.020570278019474163,1.2386097424005984,0.14036166577860684,1.2586352043938769,0.2309009107369622,0.1,0.0
8,06,091,Sierra,Sierra County,2468694583,California,3080.167724609375,456.3072130035532,164.86187940048967,19.524017210997883,0.7434166161083021,0.02638920571866883,1.289204933589327,0.08883287805988097,0.9349384261247766,0.11667334357789086,0.1,0.0
9,21,053,Clinton,Clinton County,510875755,Kentucky,10511.9306640625,554.8340915089318,235.98948708579223,66.70785056964611,1.1253744836321244,0.0722962666237125,0.7558305490343558,0.05769464708129924,0.5466730797774068,0.15931826836337512,0.1,0.0
10,39,063,Hancock,Hancock County,1376125660,Ohio,75952.5234375,1275.5386077425217,349.77518132838543,57.081941780939175,0.35552478192842857,0.027811503350669276,1.5060294610865474,0.5803714560383185,7.46183060280291,1.8983773507405162,0.1,0.0
11,48,189,Hale,Hale County,2602109427,Texas,35533.421875,1556.391844122105,352.0378338881231,72.10698199896756,0.47455098922054173,0.01814930881674297,1.4312621267237544,0.46170876388944804,4.90438402057317,1.6256395413644835,0.1,0.0
12,01,027,Clay,Clay County,1564251834,Alabama,13644.7744140625,337.46886245728945,112.5923007091356,23.827943044445696,0.9815138716598502,0.029522110782725555,0.7535115640013861,0.04483257606605429,0.7773612307706186,0.18257455635936348,0.1,0.0
13,48,011,Armstrong,Armstrong County,2354581674,Texas,1768.030029296875,366.83122698879055,174.21334740272792,5.652843200666591,0.37701035660748833,0.009250565919936404,1.9853757400329937,0.13950426175062502,1.3264912958967414,0.06112569114846352,0.1,0.0
14,39,003,Allen,Allen County,1042479889,Ohio,104150.53125,1505.3919948199975,245.44511968568136,59.09160587578608,0.4457201613420239,0.017976360447285067,1.4108719355419215,0.816007522336083,12.1528921836943,4.767504324793104,0.1,0.0
15,13,189,McDuffie,McDuffie County,666848710,Georgia,21986.9296875,620.8538979301268,86.17165664616199,27.481103476921884,0.5539381742117706,0.017762794120513403,1.1530555284896815,0.44699354271874764,8.007085108100044,3.933282513121976,0.1,0.0
16,55,111,Sauk,Sauk County,2153685971,Wisconsin,65060.98046875,1039.0945773169174,309.1730750414276,71.23443362313444,0.5352612165305636,0.022458258663064702,0.9562774477665998,0.15137489530401232,2.235930659244126,0.8263039230654765,0.1,0.0
17,05,137,Stone,Stone County,1570754768,Arkansas,12741.787109375,450.9256394475915,71.20197097143134,17.11217984194111,1.0930218924863457,0.022893081104497406,0.6547398119731865,0.09085771432697005,1.3900980295927938,0.3271643595076178,0.1,0.0
18,41,063,Wallowa,Wallowa County,8147835329,Oregon,6829.873046875,520.5609936815375,245.53398000058192,11.296490219803909,0.4694873248850615,0.011688063280145877,1.191784624009324,0.05086608454653708,1.1171697339999194,0.07681033050477382,0.1,0.0
19,42,007,Beaver,Beaver County,1125901370,Pennsylvania,163733.25,1211.0729616617273,229.13673875943087,50.6974795945159,0.43262561002116784,0.012122828590510714,1.0438158534508533,0.4041389951934432,10.41321467259898,4.443413900137894,0.1,0.0
20,28,061,Jasper,Jasper County,1751454613,Mississippi,16369.4521484375,388.77043301705453,75.34251127810289,7.203606595464897,1.4702731016861077,0.02226877721933685,0.7833264702440781,0.048564456982260515,0.7883274167984757,0.0581813418169265,0.1,0.0
