province_name,prov_id,health_region,temp_region,sub_region_2,climate_id,landarea,pop,pwpd,pop80,anndeath,house
Ontario,ON,Middlesex-London,LONDON A,Middlesex County,6144473,4426.9375,463905.2813,3666.36609,17215,,2.4
Ontario,ON,Niagara,ST. CATHARINES / NIAGARA DISTRICT A,Regional Municipality of Niagara,6137286,1467.25,432803.8438,2466.237912,26625,,2.4
Ontario,ON,North Bay Parry Sound,NORTH BAY A,Nipissing District,6085701,28424.6875,128385.8672,1638.452866,6655,,2.3
Ontario,ON,Northwestern,KENORA A,Kenora District,6034076,524745.8125,69071.78125,1080.920611,3070,,2.5
Ontario,ON,Ottawa,OTTAWA CDA RCS,Ottawa Division,6105978,2732.8125,967505.9375,5482.752354,37535,,2.5
Ontario,ON,Peel,TORONTO INTL A,Regional Municipality of Peel,6158731,939,1452108.75,8117.647795,39490,,3.2
Ontario,ON,Peterborough,PETERBOROUGH A,Peterborough County,6166415,5023.375,139767.8281,1953.271934,8685,,2.3
Ontario,ON,Porcupine,TIMMINS CLIMATE,Cochrane District,6078282,344817.125,81447.67188,2126.965449,3385,,2.4
Ontario,ON,Renfrew,PEMBROKE CLIMATE,Renfrew County,6106367,10594.4375,108272.375,1270.76758,5685,,2.3
Ontario,ON,Simcoe Muskoka,MUSKOKA,Simcoe County,6115529,23911.125,517672.0313,2209.350158,25220,,2.5
Ontario,ON,Southwestern,ST THOMAS WPCP,Elgin County,6137362,11695.875,201947.7969,1896.939021,3690,,2.5
Ontario,ON,Sudbury,SUDBURY CLIMATE,Greater Sudbury Division,6068145,67837.6875,199948.1094,1750.092947,7460,,2.3
Ontario,ON,Thunder Bay,THUNDER BAY,Thunder Bay District,6048260,740512.8125,146974.0938,2030.268875,7620,,2.3
Ontario,ON,Timiskaming,EARLTON A,Timiskaming District,6072223,16975.9375,33640.26172,1170.855813,1765,,2.2
Ontario,ON,Toronto,TORONTO CITY,Toronto Division,6158355,913.4375,2771684,12289.38692,126635,,2.4
Ontario,ON,Waterloo,KITCHENER/WATERLOO,Waterloo Regional Municipality,6144239,927.0625,544119.3125,3947.831085,20125,,2.6
Ontario,ON,Wellington Dufferin Guelph,GUELPH TURFGRASS,Wellington County,6143089,6771.9375,280513.125,2524.550906,11910,,2.6
Ontario,ON,Windsor-Essex,WINDSOR A,Essex County,6139530,3388.3125,333846.25,2497.24498,18585,,2.5
Ontario,ON,York,TORONTO BUTTONVILLE A,Regional Municipality of York,6158409,4238.5,1187996.625,4999.562755,39375,,3.1
PEI,PE,Prince Edward Island,CHARLOTTETOWN A,Queens County,8300301,16309.8125,131290,1121.15823,6450,,2.3
Quebec,QC,Abitibi-Témiscamingue,ROUYN-NORANDA A,Rouyn-Noranda,7086719,70089.8125,150701.6875,1610.273037,6025,,2.2
