,STATEFP,COUNTYFP,NAME,NAMELSAD,ALAND,STATENAME,POP,PWPD,PWPD_A,PWPD_A_ERR,PWPD_ALPHA1,PWPD_ALPHA1_ERR,PWPD_ALPHA2,PWPD_ALPHA2_ERR,PWPD_XBREAK,PWPD_XBREAK_ERR,PWPD_DELTA,PWPD_DELTA_ERR,PWLOGPD,PWLOGPD_A,PWLOGPD_A_ERR,PWLOGPD_ALPHA1,PWLOGPD_ALPHA1_ERR,PWLOGPD_ALPHA2,PWLOGPD_ALPHA2_ERR,PWLOGPD_XBREAK,PWLOGPD_XBREAK_ERR,PWLOGPD_DELTA,PWLOGPD_DELTA_ERR
0,31,039,Cuming,Cuming County,1477652222,Nebraska,8560.6708984375,583.3882132896318,354.2515816714722,7.244209104222514,0.35987518191025925,0.01597379642515523,1.1331651154907618,0.03893764074446585,0.8139989918608959,0.035400118452261445,0.1,0.0,5.359244346618652,86.81240113263428,0.7388495925738854,0.6459650898305394,0.006521074104371474,0.8600622110637187,0.012868452576739128,0.6230895788256051,0.039339324545106705,0.1,0.0
1,53,069,Wahkiakum,Wahkiakum County,680962890,Washington,4015.3125,299.60824966923497,97.54660146834743,1.948774403741868,0.8091201660458803,0.01601010498898476,1.0887865360237619,0.11302145282842774,1.6230339050509015,0.48643041839198337,0.1,0.0,4.9842047691345215,40.93048457498371,0.6028436170160965,0.9177918160459219,0.011458287170064226,0.8147353786428543,0.026160029916571775,0.7107419040228607,0.1612267278753181,0.1,0.0
2,35,011,De Baca,De Baca County,6016819475,New Mexico,1901.6861572265625,285.86357976798064,112.32087884282736,4.744621797942267,0.6694948286560749,0.03390714328216367,1.3558361303881579,0.3924329117599743,2.1927643709630544,1.1487499681792583,0.1,0.0,4.3622355461120605,31.947149345950773,0.6862392186834556,0.6455465225419094,0.01727567832632986,1.020333383996666,0.2499733730250163,2.4820284476274823,1.4272046212949383,0.1,0.0
3,31,109,Lancaster,Lancaster County,2169270569,Nebraska,301687.625,3129.6800059332895,1711.270341276207,59.83916613255909,0.4296643407034053,0.028112663479847828,1.7393275389247882,6.108029897834429,20.75129821062714,61.828744168808335,0.1,0.0,7.564938068389893,1197.053933017508,12.205434527614589,0.3426934302814993,0.008199737517852624,1.3733783763972784,0.8253297558638454,15.292360240509039,7.769191771857981,0.1,0.0
4,31,129,Nuckolls,Nuckolls County,1489645188,Nebraska,4198.048828125,395.1095063229244,202.24384493126482,8.36905251564778,0.4859957968284377,0.03320790968797118,1.733301181793718,0.3666860122070424,2.1563518812298943,0.5786951275816815,0.1,0.0,4.9518046379089355,59.5394927194732,2.810943696807822,0.6240954113697255,0.03669096165107946,0.8780701434047614,0.08230219149535946,0.6984877999193797,0.2058919552890487,0.1,0.0
5,72,085,Las Piedras,Las Piedras Municipio,87748359,Puerto Rico,40587.41796875,1972.246080340284,933.4133684033698,36.197953490897994,0.5349251816802636,0.031207440570070192,1.3076024255642225,3.5798979371331336,8.517200995640046,20.855974569505133,0.1,0.0,7.235982418060303,676.430437670947,26.182583181302547,0.5140145846437857,0.031148525496939132,1.0604411088981265,3.3807774121081464,8.436518701142585,27.46554649247426,0.1,0.0
6,46,099,Minnehaha,Minnehaha County,2089691755,South Dakota,179769.0625,2124.4016667217143,1296.5839989752728,26.51999766487382,0.35297570020314817,0.016456689617703114,1.6463133925015478,1.0318819418223302,8.909373032123627,5.735661293759809,0.1,0.0,7.286407470703125,853.1040617097544,4.675662407231334,0.38708471720693255,0.004410381279967415,1.3001793055314648,0.20807340365884763,8.04380188492819,1.3761402168388182,0.1,0.0
7,48,327,Menard,Menard County,2336237982,Texas,2164.54150390625,380.49680429489774,154.24626285717716,3.8376998428314586,0.6494868832182726,0.019869999945497728,1.246453249670077,0.12486802787667757,1.300852881947229,0.23766891028509252,0.1,0.0,4.913742542266846,51.82555185459635,0.46616061038256495,0.696403672665969,0.0071701295910126545,1.0588325869376431,0.04365725539070102,1.2537797218949656,0.1373110897736464,0.1,0.0
8,06,091,Sierra,Sierra County,2468694583,California,3080.167724609375,456.3072130035532,158.2633415398494,4.943102961141889,0.7652262164824686,0.024891147307076467,1.470081982619983,0.15088726142682363,1.2486327977091385,0.24413694772589536,0.1,0.0,5.3299407958984375,70.18910707179339,2.0903989685670816,0.7781736152219275,0.023243279982833397,1.14233050889487,0.05515104136031318,0.7753553130237003,0.10135148065688167,0.1,0.0
9,21,053,Clinton,Clinton County,510875755,Kentucky,10511.9306640625,554.8340915089318,116.48410052596958,8.034338777880782,1.1259505198691506,0.050766013543137437,0.7593937116050404,0.0567622398458779,0.5441465287125464,0.12712096802388942,0.1,0.0,5.781666278839111,69.68634309139264,1.5663902676714203,1.1090967294080492,0.017575782499723254,0.6560303530153926,0.04662296595425952,0.8915439624125789,0.08288823873650693,0.1,0.0
10,39,063,Hancock,Hancock County,1376125660,Ohio,75952.5234375,1275.5386077425217,768.1731627437402,25.165788493971043,0.36210687637551103,0.02637238318987997,0.8188476565280369,0.5217077963228456,3.78198912191585,3.109370088890585,0.1,0.0,6.566669464111328,371.53310814729133,5.448636804276373,0.46635620497168245,0.011797747506864248,1.011774655334074,1.1369969428865916,9.500625437609012,13.842934409430237,0.1,0.0
