date,temp_mean,temp_min,temp_max
2016-01-01,-2.1,-3.6,-0.6
2016-01-02,0.4,-1.2,1.9
2016-01-03,-2.9,-7.7,1.9
2016-01-04,-11.4,-15.1,-7.6
2016-01-05,-7.9,-14.5,-1.3
2016-01-06,-0.9,-2.6,0.9
2016-01-07,-0.3,-4.3,3.8
2016-01-08,1.0,-1.5,3.4
2016-01-09,5.2,2.9,7.5
2016-01-10,,-0.9,
2016-01-11,-8.5,-10.3,-6.7
2016-01-12,-6.9,-10.1,-3.7
2016-01-13,-7.8,-9.6,-6.0
2016-01-14,-4.4,-6.7,-2.1
2016-01-15,1.5,-2.1,5.1
2016-01-16,-0.5,-3.4,2.5
2016-01-17,,-9.5,
2016-01-18,-8.3,-9.5,-7.1
2016-01-19,,-11.0,
2016-01-20,-5.9,-7.8,-3.9
2016-01-21,-4.8,-5.9,-3.6
2016-01-22,-11.3,-17.5,-5.1
2016-01-23,-10.6,-14.9,-6.2
2016-01-24,-3.5,-7.0,0.1
2016-01-25,1.6,-1.3,4.5
2016-01-26,2.0,-1.2,5.1
2016-01-27,-1.8,-3.4,-0.2
2016-01-28,-1.1,-3.3,1.1
2016-01-29,-5.2,-7.8,-2.6
2016-01-30,-0.8,-6.6,5.0
2016-01-31,5.3,1.6,8.9
2016-02-01,1.8,-0.2,3.8
2016-02-02,0.6,-2.2,3.4
2016-02-03,6.2,1.4,11.0
2016-02-04,-0.8,-3.0,1.4
2016-02-05,-1.5,-3.0,0.1
2016-02-06,-0.1,-2.1,1.9
2016-02-07,3.4,-0.9,7.6
2016-02-08,2.8,0.3,5.2
2016-02-09,-0.6,-2.6,1.5
2016-02-10,-6.7,-11.1,-2.3
2016-02-11,-9.4,-11.9,-6.9
2016-02-12,-9.7,-13.7,-5.7
2016-02-13,-15.1,-18.9,-11.3
2016-02-14,-15.2,-18.7,-11.7
2016-02-15,-8.6,-15.0,-2.1
2016-02-16,-2.4,-3.1,-1.6
2016-02-17,-4.3,-7.4,-1.2
2016-02-18,-9.0,-14.1,-3.8
2016-02-19,3.0,-3.9,9.8
2016-02-20,3.2,-0.6,6.9
2016-02-21,0.7,-2.3,3.7
2016-02-22,-3.2,-5.5,-0.8
2016-02-23,-0.6,-5.4,4.2
2016-02-24,-0.3,-1.7,1.2
2016-02-25,-3.0,-5.3,-0.7
2016-02-26,-3.9,-6.5,-1.3
2016-02-27,0.8,-1.9,3.4
2016-02-28,6.4,1.0,11.8
2016-02-29,-1.3,-5.9,3.3
2016-03-01,-7.6,-10.0,-5.2
2016-03-02,-6.7,-8.1,-5.3
2016-03-03,-5.9,-9.2,-2.6
2016-03-04,-7.7,-13.5,-1.9
2016-03-05,-5.7,-11.4,0.1
2016-03-06,-6.0,-14.8,2.8
2016-03-07,6.6,2.7,10.4
2016-03-08,11.0,5.4,16.6
2016-03-09,,11.8,
2016-03-10,5.2,0.8,9.5
2016-03-11,0.2,-2.0,2.3
2016-03-12,5.2,-0.6,11.0
2016-03-13,6.2,1.5,10.9
2016-03-14,8.6,4.3,12.8
2016-03-15,4.6,1.6,7.5
2016-03-16,9.9,5.7,14.0
2016-03-17,4.8,2.3,7.3
2016-03-18,-0.4,-4.3,3.6
2016-03-19,-2.0,-6.2,2.3
2016-03-20,-1.6,-4.7,1.6
2016-03-21,-0.8,-3.9,2.4
2016-03-22,3.2,-2.9,9.3
2016-03-23,2.5,0.6,4.4
2016-03-24,3.8,0.1,7.5
2016-03-25,-1.6,-3.5,0.4
2016-03-26,-0.3,-5.2,4.7
2016-03-27,8.0,-1.6,17.5
2016-03-28,5.1,1.0,9.1
2016-03-29,0.1,-1.9,2.1
2016-03-30,7.0,-0.3,14.2
2016-03-31,11.4,7.4,15.4
2016-04-01,4.2,0.8,7.6
2016-04-02,-1.5,-4.5,1.5
2016-04-03,,,
2016-04-04,-9.0,-14.5,-3.4
2016-04-05,-6.5,-12.2,-0.7
2016-04-06,2.3,-2.5,7.1
2016-04-07,1.2,-2.4,4.7
2016-04-08,-2.3,-4.4,-0.1
2016-04-09,,,-3.8
2016-04-10,-2.1,-6.9,2.7
2016-04-11,5.8,1.6,9.9
2016-04-12,-0.2,-3.9,3.5
2016-04-13,1.0,-4.3,6.3
2016-04-14,4.9,-1.1,10.8
2016-04-15,10.0,2.0,18.0
2016-04-16,12.4,7.1,17.7
2016-04-17,10.7,3.6,17.7
2016-04-18,13.0,4.1,21.8
2016-04-19,5.9,1.5,10.2
2016-04-20,9.0,1.5,16.4
2016-04-21,11.1,6.4,15.7
2016-04-22,7.3,2.5,12.0
2016-04-23,,0.2,
2016-04-24,5.5,-0.9,11.8
2016-04-25,9.7,5.7,13.6
2016-04-26,,,7.9
2016-04-27,3.4,-1.4,8.1
2016-04-28,4.3,-1.0,9.5
2016-04-29,6.6,2.6,10.6
2016-04-30,8.1,0.8,15.4
2016-05-01,8.8,6.9,10.7
2016-05-02,7.4,1.3,13.4
2016-05-03,8.2,1.1,15.3
2016-05-04,12.0,6.5,17.4
2016-05-05,10.7,5.2,16.2
2016-05-06,10.6,4.3,16.8
2016-05-07,10.3,0.3,20.2
2016-05-08,5.6,-0.7,11.8
2016-05-09,6.1,1.1,11.0
2016-05-10,11.5,4.4,18.6
2016-05-11,15.6,8.0,23.1
2016-05-12,17.7,12.0,23.4
2016-05-13,13.1,8.6,17.5
2016-05-14,6.4,3.1,9.6
2016-05-15,3.6,1.5,5.7
2016-05-16,10.1,4.9,15.2
