date,temp_mean,temp_min,temp_max,climate_id,theta,temp_mean_avg,temp_min_avg,temp_max_avg
2021-11-03,-1.4187500000000863,-3.8000000000000913,0.9999999999999212,,5.2639416947212965,-1.4187500000000863,-3.8000000000000913,0.9999999999999212
2021-11-04,-2.962500000000142,-6.518750000000261,0.6749999999999765,,5.281144118560256,-2.962500000000142,-6.518750000000261,0.6749999999999765
2021-11-05,-3.06250000000007,-8.168749999999955,2.087499999999816,,5.298346542399212,-3.06250000000007,-8.168749999999955,2.087499999999816
2021-11-06,-0.7624999999999155,-4.72499999999984,3.218750000000009,,5.315548966238172,-0.7624999999999155,-4.72499999999984,3.218750000000009
2021-11-07,-2.287500000000147,-4.550000000000168,0.024999999999870737,,5.3327513900771315,-2.287500000000147,-4.550000000000168,0.024999999999870737
2021-11-08,-4.7062499999998595,-7.637499999999848,-1.7374999999998717,,5.349953813916088,-4.7062499999998595,-7.637499999999848,-1.7374999999998717
2021-11-09,-4.881249999999955,-8.718749999999947,-0.9812499999999653,,5.367156237755047,-4.881249999999955,-8.718749999999947,-0.9812499999999653
2021-11-10,-2.637499999999628,-6.6062499999996955,1.3875000000004363,,5.384358661594007,-2.637499999999628,-6.6062499999996955,1.3875000000004363
2021-11-11,-3.0187499999998044,-6.149999999999888,0.17500000000027804,,5.401561085432963,-3.0187499999998044,-6.149999999999888,0.17500000000027804
2021-11-12,-3.4249999999999887,-6.675000000000006,-0.1562499999999707,,5.418763509271923,-3.4249999999999887,-6.675000000000006,-0.1562499999999707
2021-11-13,-5.412500000000251,-9.187500000000181,-1.5937500000003173,,5.435965933110882,-5.412500000000251,-9.187500000000181,-1.5937500000003173
2021-11-14,-6.862499999999896,-10.449999999999932,-3.231249999999858,,5.453168356949838,-6.862499999999896,-10.449999999999932,-3.231249999999858
2021-11-15,-5.949999999999964,-9.899999999999991,-1.9499999999999371,,5.470370780788798,-5.949999999999964,-9.899999999999991,-1.9499999999999371
2021-11-16,-5.212500000000005,-8.69375,-1.6937500000000103,,5.487573204627758,-5.212500000000005,-8.69375,-1.6937500000000103
2021-11-17,-4.681250000000042,-7.32500000000011,-1.968749999999976,,5.504775628466714,-4.681250000000042,-7.32500000000011,-1.968749999999976
2021-11-18,-5.581250000000064,-8.543750000000067,-2.5750000000000632,,5.521978052305673,-5.581250000000064,-8.543750000000067,-2.5750000000000632
2021-11-19,-6.225000000000155,-8.887500000000149,-3.5437500000001574,,5.539180476144633,-6.225000000000155,-8.887500000000149,-3.5437500000001574
2021-11-20,-5.581250000000054,-9.168749999999955,-1.9250000000001495,,5.556382899983589,-5.581250000000054,-9.168749999999955,-1.9250000000001495
2021-11-21,-7.343750000000011,-11.637500000000017,-3.0125000000000024,,5.573585323822549,-7.343750000000011,-11.637500000000017,-3.0125000000000024
2021-11-22,-7.300000000000058,-10.818750000000026,-3.7187500000000906,,5.590787747661508,-7.300000000000058,-10.818750000000026,-3.7187500000000906
2021-11-23,-5.250000000000032,-8.056249999999991,-2.4000000000000687,,5.6079901715004645,-5.250000000000032,-8.056249999999991,-2.4000000000000687
2021-11-24,-6.0687499999999925,-9.868749999999995,-2.2749999999999924,,5.625192595339424,-6.0687499999999925,-9.868749999999995,-2.2749999999999924
2021-11-25,-4.762500000000003,-8.006249999999929,-1.5250000000000796,,5.642395019178384,-4.762500000000003,-8.006249999999929,-1.5250000000000796
2021-11-26,-2.9312499999999537,-5.343749999999927,-0.5249999999999853,,5.65959744301734,-2.9312499999999537,-5.343749999999927,-0.5249999999999853
2021-11-27,-3.3624999999998892,-6.156249999999898,-0.48749999999987903,,5.6767998668563,-3.3624999999998892,-6.156249999999898,-0.48749999999987903
2021-11-28,-4.593750000000119,-7.8000000000001375,-1.3312500000001015,,5.694002290695259,-4.593750000000119,-7.8000000000001375,-1.3312500000001015
2021-11-29,-4.237499999999905,-7.018749999999939,-1.4249999999998666,,5.711204714534215,-4.237499999999905,-7.018749999999939,-1.4249999999998666
2021-11-30,-6.61874999999994,-9.356249999999916,-3.837499999999964,,5.728407138373175,-6.61874999999994,-9.356249999999916,-3.837499999999964
2021-12-01,-5.887499999999921,-9.76874999999997,-1.9124999999998715,,5.745609562212135,-5.887499999999921,-9.76874999999997,-1.9124999999998715
2021-12-02,-6.050000000000126,-9.343750000000245,-2.7187499999999996,,5.762811986051091,-6.050000000000126,-9.343750000000245,-2.7187499999999996
