date,temp_mean,temp_min,temp_max,climate_id,theta,temp_mean_avg,temp_min_avg,temp_max_avg
2020-01-01,-5.3,-8.4,-2.1,6072230.0,6.270283489300368,-17.000000000000192,-22.33125000000031,-11.600000000000069
2020-01-02,-2.8,-7.2,1.5,6072230.0,0.004300605959738135,-15.60000000000015,-21.718750000000142,-9.450000000000152
2020-01-03,-1.2,-4.7,2.3,6072230.0,0.02150302979869778,-12.931250000000139,-18.9750000000002,-6.8687500000000785
2020-01-04,-7.5,-10.4,-4.7,6072230.0,0.03870545363765743,-12.925000000000033,-16.825000000000028,-9.018750000000036
2020-01-05,-14.0,-18.2,-9.7,6072230.0,0.05590787747661352,-14.212499999999729,-19.956249999999876,-8.412499999999584
2020-01-06,-7.8,-12.3,-3.3,6072230.0,0.07311030131557317,-15.281249999999895,-19.306249999999817,-11.181249999999972
2020-01-07,-8.9,-17.2,-0.5,6072230.0,0.09031272515453281,-16.056249999999974,-21.78125000000002,-10.293749999999923
2020-01-08,-16.3,-27.1,-5.6,6072230.0,0.10751514899348891,-11.325000000000639,-16.85625000000102,-5.768750000000258
2020-01-09,-20.7,-32.7,-8.8,6072230.0,0.12471757283244855,-9.45625000000002,-14.124999999999968,-4.76250000000007
2020-01-10,-2.6,-8.8,3.6,6072230.0,0.1419199966714082,-11.106250000000113,-18.675000000000097,-3.5062500000001293
2020-01-11,-11.4,-18.8,-4.0,6072230.0,0.15912242051036785,-12.456249999999816,-18.89374999999972,-5.993749999999911
2020-01-12,-19.2,-23.8,-14.6,6072230.0,0.17632484434932394,-14.187499999999812,-20.39374999999982,-7.931249999999804
2020-01-13,-19.7,-25.7,-13.6,6072230.0,0.19352726818828359,-20.737500000000118,-25.925000000000132,-15.4750000000001
2020-01-14,-16.8,-27.5,-6.2,6072230.0,0.21072969202724323,-19.962499999999658,-26.956249999999894,-12.918749999999422
2020-01-15,-4.9,-8.3,-1.6,6072230.0,0.22793211586619933,-15.537500000000136,-23.050000000000225,-7.962500000000049
2020-01-16,-16.3,-24.3,-8.3,6072230.0,0.24513453970515897,-13.912499999999955,-20.649999999999938,-7.124999999999973
2020-01-17,-22.3,-26.9,-17.8,6072230.0,0.2623369635441186,-15.781249999999991,-23.031249999999932,-8.487500000000056
2020-01-18,-18.3,-23.5,-13.1,6072230.0,0.2795393873830747,-13.85625000000007,-19.0687500000001,-8.57500000000004
2020-01-19,-15.5,-19.8,-11.2,6072230.0,0.29674181122203436,-12.480609670135944,-16.612499999999972,-8.290639054775545
2020-01-20,-16.4,-21.6,-11.3,6072230.0,0.313944235060994,-11.6543290104079,-15.612500000000036,-7.640667164326654
2020-01-21,-9.7,-17.3,-2.2,6072230.0,0.3311466588999501,-10.906249999999973,-14.49375000000003,-7.312499999999913
2020-01-22,-3.6,-7.4,0.1,6072230.0,0.34834908273890974,-11.27500000000001,-15.468750000000004,-7.075000000000013
