date,temp_mean,temp_min,temp_max,theta,temp_mean_avg,temp_min_avg,temp_max_avg
2022-01-04,-6.250000000000168,-9.431250000000173,-3.0125000000001734,0.04730666555713725,-6.250000000000168,-9.431250000000173,-3.0125000000001734
2022-01-05,-9.149999999999832,-11.82499999999968,-6.437499999999985,0.06450908939609334,-9.149999999999832,-11.82499999999968,-6.437499999999985
2022-01-06,-11.175000000000049,-15.631250000000025,-6.718750000000074,0.08171151323505299,-11.175000000000049,-15.631250000000025,-6.718750000000074
2022-01-07,-11.974999999999968,-18.537500000000133,-5.399999999999796,0.09891393707401264,-11.974999999999968,-18.537500000000133,-5.399999999999796
2022-01-08,-7.8375,-13.300000000000004,-2.356249999999996,0.11611636091296873,-7.8375,-13.300000000000004,-2.356249999999996
2022-01-09,-7.956250000000031,-13.84375000000003,-2.0562500000000297,0.13331878475192838,-7.956250000000031,-13.84375000000003,-2.0562500000000297
2022-01-10,-9.143750000000189,-15.406250000000083,-2.825000000000289,0.15052120859088802,-9.143750000000189,-15.406250000000083,-2.825000000000289
2022-01-11,-6.768749999999891,-11.618749999999856,-1.8937499999999199,0.16772363242984412,-6.768749999999891,-11.618749999999856,-1.8937499999999199
2022-01-12,-9.087499999999974,-15.718749999999952,-2.4374999999999956,0.18492605626880376,-9.087499999999974,-15.718749999999952,-2.4374999999999956
2022-01-13,-13.187499999999977,-17.56874999999995,-8.787500000000001,0.2021284801077634,-13.187499999999977,-17.56874999999995,-8.787500000000001
2022-01-14,-11.27500000000046,-16.237500000000633,-6.312500000000292,0.2193309039467195,-11.27500000000046,-16.237500000000633,-6.312500000000292
2022-01-15,-8.243749999999991,-12.299999999999994,-4.187499999999995,0.23653332778567915,-8.243749999999991,-12.299999999999994,-4.187499999999995
2022-01-16,-11.475000000000051,-17.28750000000001,-5.675000000000094,0.2537357516246388,-11.475000000000051,-17.28750000000001,-5.675000000000094
2022-01-17,-14.075000000000056,-20.506249999999973,-7.612500000000145,0.2709381754635949,-14.075000000000056,-20.506249999999973,-7.612500000000145
2022-01-18,-11.743750000000091,-15.687500000000075,-7.743750000000108,0.28814059930255453,-11.743750000000091,-15.687500000000075,-7.743750000000108
2022-01-19,-13.39375000000002,-17.206250000000068,-9.574999999999982,0.3053430231415142,-13.39375000000002,-17.206250000000068,-9.574999999999982
2022-01-20,-12.043750000000031,-17.331249999999894,-6.831250000000171,0.3225454469804703,-12.043750000000031,-17.331249999999894,-6.831250000000171
2022-01-21,-10.424999999999912,-15.831249999999937,-5.006249999999886,0.3397478708194299,-10.424999999999912,-15.831249999999937,-5.006249999999886
2022-01-22,-8.374999999999948,-13.349999999999891,-3.412500000000011,0.35695029465838957,-8.374999999999948,-13.349999999999891,-3.412500000000011
2022-01-23,-7.09999999999985,-11.718749999999904,-2.5374999999997963,0.37415271849734566,-7.09999999999985,-11.718749999999904,-2.5374999999997963
2022-01-24,-9.543750000000038,-13.943749999999977,-5.125000000000103,0.3913551423363053,-9.543750000000038,-13.943749999999977,-5.125000000000103
2022-01-25,-10.88749999999997,-15.806249999999908,-5.962500000000037,0.40855756617526495,-10.88749999999997,-15.806249999999908,-5.962500000000037
2022-01-26,-10.731250000000093,-15.750000000000048,-5.750000000000135,0.42575999001422105,-10.731250000000093,-15.750000000000048,-5.750000000000135
2022-01-27,-8.131249999999937,-13.931249999999908,-2.3124999999999662,0.4429624138531807,-8.131249999999937,-13.931249999999908,-2.3124999999999662
2022-01-28,-13.556250000000023,-18.856250000000014,-8.225000000000033,0.46016483769214034,-13.556250000000023,-18.856250000000014,-8.225000000000033
2022-01-29,-15.387499999999903,-20.812499999999837,-9.943749999999962,0.47736726153109643,-15.387499999999903,-20.812499999999837,-9.943749999999962
2022-01-30,-17.306250000000013,-23.53749999999996,-11.081250000000068,0.4945696853700561,-17.306250000000013,-23.53749999999996,-11.081250000000068
2022-01-31,-16.82500000000003,-23.9062500000001,-9.712499999999961,0.5117721092090157,-16.82500000000003,-23.9062500000001,-9.712499999999961
2022-02-01,-12.081250000000338,-20.83750000000046,-3.3062500000002175,0.5289745330479718,-12.081250000000338,-20.83750000000046,-3.3062500000002175
2022-02-02,-11.562500000000213,-17.81875000000025,-5.262500000000179,0.5461769568869315,-11.562500000000213,-17.81875000000025,-5.262500000000179
2022-02-03,-8.124999999999918,-13.206249999999878,-2.9999999999999583,0.5633793807258911,-8.124999999999918,-13.206249999999878,-2.9999999999999583
2022-02-04,-6.406250000000284,-11.312500000000446,-1.456250000000121,0.5805818045648508,-6.406250000000284,-11.312500000000446,-1.456250000000121
