date,temp_mean,temp_min,temp_max,climate_id,theta,temp_mean_avg,temp_min_avg,temp_max_avg
2020-01-01,-4.4,-6.3,-2.5,7047914.0,6.270283489300368,-12.07488251306329,-17.75625000000005,-5.471128748033198
2020-01-02,-9.8,-16.0,-3.6,7047914.0,0.004300605959738135,-13.84999999999975,-19.699999999999818,-7.924999999999684
2020-01-03,-9.2,-13.3,-5.2,7047914.0,0.02150302979869778,-16.91249999999997,-22.26249999999996,-11.518749999999976
2020-01-04,-7.5,-13.1,-1.9,7047914.0,0.03870545363765743,-15.706249999999677,-21.949999999999694,-9.42499999999966
2020-01-05,-9.9,-13.1,-6.7,7047914.0,0.05590787747661352,-9.856250000000234,-15.625000000000352,-4.068750000000119
2020-01-06,-14.3,-18.8,-9.8,7047914.0,0.07311030131557317,-9.39374999999987,-15.212499999999832,-3.5812499999999066
2020-01-07,-14.4,-22.4,-6.4,7047914.0,0.09031272515453281,-16.00000000000024,-22.212500000000237,-9.76875000000025
2020-01-08,-15.2,-21.3,-9.1,7047914.0,0.10751514899348891,-17.31563969215462,-22.872930932436933,-11.759832221594245
2020-01-09,-17.0,-25.0,-9.0,7047914.0,0.12471757283244855,-14.154189552645903,-17.78889364414569,-9.6715446726586
2020-01-10,-14.4,-22.7,-6.1,7047914.0,0.1419199966714082,-11.124682891985733,-14.424731718132811,-6.9600187440283054
2020-01-11,-9.2,-15.6,-2.8,7047914.0,0.15912242051036785,-8.54954107890778,-14.643660572710292,-2.3812782706334206
2020-01-12,-18.2,-21.6,-14.9,7047914.0,0.17632484434932394,-7.187500000000023,-11.293750000000003,-3.031250000000042
2020-01-13,-21.2,-26.7,-15.7,7047914.0,0.19352726818828359,-9.787500000000193,-14.706250000000257,-4.812500000000133
2020-01-14,-18.9,-26.8,-10.9,7047914.0,0.21072969202724323,-16.5437500000005,-22.218750000000306,-10.856250000000696
2020-01-15,-14.0,-20.6,-7.4,7047914.0,0.22793211586619933,-19.0875,-24.481249999999946,-13.625000000000053
2020-01-16,-15.0,-20.1,-9.9,7047914.0,0.24513453970515897,-17.84374999999995,-24.62499999999995,-11.031249999999952
2020-01-17,-20.2,-24.0,-16.4,7047914.0,0.2623369635441186,-16.52500000000012,-23.356250000000138,-9.618750000000091
2020-01-18,-20.0,-26.1,-14.0,7047914.0,0.2795393873830747,-15.793750000000058,-23.52500000000002,-8.031250000000094
2020-01-19,-18.4,-21.6,-15.1,7047914.0,0.29674181122203436,-14.51249999999998,-21.537499999999966,-7.443749999999992
2020-01-20,-19.6,-26.0,-13.2,7047914.0,0.313944235060994,-14.124999999999932,-20.299999999999862,-7.937500000000007
2020-01-21,-21.8,-30.2,-13.3,7047914.0,0.3311466588999501,-12.850000000000026,-16.69375000000013,-8.974999999999927
2020-01-22,-10.9,-18.3,-3.5,7047914.0,0.34834908273890974,-12.975000000000037,-17.55625000000009,-8.362499999999983
2020-01-23,-4.2,-8.0,-0.4,7047914.0,0.3655515065778694,-13.537499999999891,-20.1937499999999,-6.88124999999989
2020-01-24,-14.3,-21.6,-7.1,7047914.0,0.3827539304168255,-10.687500000000105,-16.550000000000168,-4.831250000000045
2020-01-25,-12.3,-18.9,-5.7,7047914.0,0.39995635425578513,-10.849999999999987,-16.662499999999948,-4.987500000000025
2020-01-26,-5.0,-8.2,-1.8,7047914.0,0.4171587780947448,-12.175000000000354,-17.48750000000041,-6.825000000000298
2020-01-27,-7.4,-13.4,-1.5,7047914.0,0.43436120193370087,-13.587500000000027,-20.48749999999996,-6.637500000000094
