date,temp_mean,temp_min,temp_max,climate_id,theta,temp_mean_avg,temp_min_avg,temp_max_avg
2020-01-01,-14.6,-17.4,-11.7,2204101.0,6.270283489300368,-17.66874999999996,-22.018749999999905,-13.293750000000017
2020-01-02,-13.9,-14.5,-13.2,2204101.0,0.004300605959738135,-17.956250000000125,-22.506250000000122,-13.368750000000126
2020-01-03,-19.7,-25.5,-13.8,2204101.0,0.02150302979869778,-16.78750000000005,-20.556250000000063,-12.968750000000043
2020-01-04,-19.6,-23.7,-15.4,2204101.0,0.03870545363765743,-15.3875,-18.1124999999999,-12.58125000000009
2020-01-05,-24.206023854433262,-26.4994797083154,-21.86261392140176,2204101.0,0.05590787747661352,-15.568750000000026,-19.481249999999964,-11.556250000000093
2020-01-06,-31.4,-34.0,-28.8,2204101.0,0.07311030131557317,-17.90624999999997,-22.131249999999948,-13.593749999999993
2020-01-07,-35.4,-38.7,-32.1,2204101.0,0.09031272515453281,-21.68750000000028,-26.093750000000213,-17.256250000000353
2020-01-08,-37.3,-39.6,-35.0,2204101.0,0.10751514899348891,-26.57499999999991,-30.12499999999984,-23.018749999999976
2020-01-09,-37.5,-40.0,-35.0,2204101.0,0.12471757283244855,-27.999999999999915,-32.456249999999905,-23.487499999999923
2020-01-10,-38.3,-41.1,-35.4,2204101.0,0.1419199966714082,-28.14374999999997,-33.218749999999986,-23.037499999999955
2020-01-11,-39.1,-41.6,-36.5,2204101.0,0.15912242051036785,-26.64374999999974,-31.574999999999683,-21.656249999999805
2020-01-12,-40.4,-43.8,-37.0,2204101.0,0.17632484434932394,-27.818749999999945,-32.81874999999994,-22.737499999999955
2020-01-13,-39.4,-42.2,-36.6,2204101.0,0.19352726818828359,-30.556249999999977,-34.28749999999996,-26.768749999999997
2020-01-14,-36.6163825635796,-38.50346454302161,-34.745371251939055,2204101.0,0.21072969202724323,-28.93124999999965,-33.37499999999979,-24.38749999999951
2020-01-15,-35.7,-38.1,-33.3,2204101.0,0.22793211586619933,-25.30625000000012,-30.518750000000143,-20.031250000000092
2020-01-16,-36.0,-40.5,-31.4,2204101.0,0.24513453970515897,-24.199999999999925,-27.21874999999993,-21.10624999999991
2020-01-17,-29.8,-34.1,-25.4,2204101.0,0.2623369635441186,-21.399999999999977,-25.47499999999993,-17.24375000000002
2020-01-18,-35.3,-39.0,-31.6,2204101.0,0.2795393873830747,-19.73750000000001,-22.66250000000004,-16.74999999999998
2020-01-19,-27.4,-34.1,-20.6,2204101.0,0.29674181122203436,-18.87500000000002,-21.36250000000004,-16.3625
2020-01-20,-23.6,-26.3,-20.9,2204101.0,0.313944235060994,-19.212500000000084,-21.693750000000122,-16.69375000000005
2020-01-21,-22.9,-26.3,-19.4,2204101.0,0.3311466588999501,-20.568749999999877,-23.968749999999826,-17.124999999999925
2020-01-22,-20.4,-26.9,-13.9,2204101.0,0.34834908273890974,-23.125000000000025,-26.656249999999993,-19.550000000000054
2020-01-23,-20.1,-25.0,-15.2,2204101.0,0.3655515065778694,-24.443749999999934,-27.356249999999967,-21.499999999999897
2020-01-24,-16.2,-17.9,-14.4,2204101.0,0.3827539304168255,-23.93125,-27.800000000000022,-19.974999999999973
2020-01-25,-14.912241805293093,-16.378511403092087,-13.298522015153768,2204101.0,0.39995635425578513,-23.15000000000002,-26.45625000000002,-19.80625000000002
2020-01-26,-14.1,-17.4,-10.7,2204101.0,0.4171587780947448,-21.393749999999898,-24.27499999999996,-18.481249999999836
2020-01-27,-11.2,-16.4,-6.0,2204101.0,0.43436120193370087,-21.912500000000016,-26.756250000000005,-17.03750000000002
2020-01-28,-12.301704170402596,-18.833771910592425,-5.740535023039737,2204101.0,0.4515636257726605,-22.374999999999996,-26.61249999999999,-18.112499999999997
2020-01-29,-14.6,-22.6,-6.5,2204101.0,0.46876604961162016,-20.53749999999982,-23.556249999999796,-17.48749999999984
2020-01-30,-16.0,-24.7,-7.2,2204101.0,0.48596847345057625,-20.181249999999913,-23.54999999999979,-16.756250000000037
2020-01-31,-23.3,-28.0,-18.5,2204101.0,0.5031708972895359,-25.38750000000006,-31.493750000000027,-19.250000000000092
2020-02-01,-27.5,-30.9,-24.0,2204101.0,0.5203733211284955,-29.912500000000207,-33.80625000000022,-25.962500000000187
