date,temp_mean,temp_min,temp_max,climate_id,theta,temp_mean_avg,temp_min_avg,temp_max_avg
2020-03-09,-6.7,-9.0,-4.3,7086719.0,1.1568630031699598,-6.71250000000013,-11.474999999999964,-1.8562500000002986
2020-03-10,-13.6,-21.5,-5.7,7086719.0,1.174065427008916,-10.162499999999971,-13.706249999999963,-6.568749999999983
2020-03-11,-14.4,-25.6,-3.2,7086719.0,1.1912678508478756,-10.381249999999975,-15.62499999999999,-5.06249999999996
2020-03-12,-1.3,-5.5,2.9,7086719.0,1.2084702746868352,-6.018749999999782,-11.381249999999634,-0.6062499999999311
2020-03-13,-2.0,-5.9,1.9,7086719.0,1.2256726985257913,-5.981250000000052,-10.731250000000049,-1.2125000000000548
2020-03-14,-9.7,-15.0,-4.4,7086719.0,1.242875122364751,-5.725000000000008,-10.274999999999988,-1.1000000000000267
2020-03-15,-15.3,-22.5,-8.0,7086719.0,1.2600775462037106,-6.900000000000125,-10.837500000000086,-2.900000000000162
2020-03-16,-12.6,-25.1,-0.1,7086719.0,1.2772799700426667,-8.518749999999931,-13.793749999999859,-3.2
2020-03-17,-8.3,-17.6,1.0,7086719.0,1.2944823938816263,-10.562499999999954,-17.824999999999953,-3.2749999999999533
2020-03-18,-7.3,-16.4,1.8,7086719.0,1.311684817720586,-10.293749999999875,-18.46874999999995,-2.0499999999997973
2020-03-19,-2.5,-12.4,7.5,7086719.0,1.328887241559542,-7.137500000000152,-14.07500000000027,-0.20000000000003149
2020-03-20,-9.0,-18.4,0.5,7086719.0,1.3460896653985017,-4.6437500000000425,-10.625000000000068,1.3062499999999846
2020-03-21,-15.2,-25.2,-5.2,7086719.0,1.3632920892374614,-8.962500000000245,-15.543750000000305,-2.3375000000001793
2020-03-22,-14.4,-28.1,-0.7,7086719.0,1.3804945130764175,-9.487500000000063,-17.318750000000037,-1.581250000000092
2020-03-23,-3.5,-9.5,2.6,7086719.0,1.397696936915377,-9.139412205468444,-16.424999999999997,-1.7589524305073603
2020-03-24,-1.8,-9.5,6.0,7086719.0,1.4148993607543368,-8.283162205468491,-15.393750000000113,-1.0777024305073448
2020-03-25,-0.1,-6.6,6.5,7086719.0,1.4321017845932928,-6.431250000000181,-14.250000000000224,1.3999999999998665
2020-03-26,-4.5,-10.4,1.4,7086719.0,1.4493042084322525,-1.243749999999985,-7.212499999999936,4.737499999999966
2020-03-27,-7.3,-17.5,3.0,7086719.0,1.4665066322712121,0.5312499999999774,-3.062500000000081,4.143750000000037
2020-03-28,-0.2,-11.2,10.9,7086719.0,1.4837090561101682,-1.7937499999999367,-6.668749999999859,3.1249999999999867
2020-03-29,2.2,-1.4,5.8,7086719.0,1.5009114799491279,-2.51875,-8.200000000000005,3.200000000000005
2020-03-30,1.7,0.3,3.0,7086719.0,1.5181139037880875,-3.0125000000001214,-7.800000000000111,1.8062499999998618
2020-03-31,1.0,-5.8,7.7,7086719.0,1.5353163276270436,-3.7249999999999974,-8.893749999999951,1.4437499999999561
2020-04-01,0.3,-7.1,7.7,7086719.0,1.5525187514660033,-3.581250000000001,-8.568749999999998,1.4249999999999958
2020-04-02,0.4,-3.5,4.3,7086719.0,1.569721175304963,-5.037500000000044,-9.937500000000115,-0.11249999999997079
