province_name,health_region,temp_region,prov_id,climate_id,sub_region_2
Quebec,Lanaudière,L'ASSOMPTION,QC,7014160,L'Assomption Regional County Municipality
Quebec,Laurentides,MONTREAL MIRABEL INTL A,QC,7034900,Les Laurentides Regional County Municipality
Quebec,Laval,MCTAVISH,QC,7024745,Laval
Quebec,Mauricie,TROIS RIVIERES A,QC,7018561,Shawinigan
Quebec,Montérégie,MONTREAL/ST-HUBERT,QC,7027329,La Vallée-du-Richelieu Regional County Municipality
Quebec,Montréal,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL,QC,702S006,Montreal
Quebec,Nord-du-Québec,CHIBOUGAMAU CHAPAIS A,QC,7091409,Nord-du-Québec
Quebec,Not Reported,,QC,,
Quebec,Nunavik,AKULIVIK A,QC,7100072,Nord-du-Québec
Quebec,Outaouais,OTTAWA GATINEAU A,QC,7032685,Gatineau
Quebec,Saguenay,JONQUIERE,QC,7063370,Le Fjord-du-Saguenay Regional County Municipality
Quebec,Terres-Cries-de-la-Baie-James,EASTMAIN RIVER A,QC,7092306,Nord-du-Québec
Saskatchewan,Central,YORKTON,SK,4019073,Division No. 9 - Yorkton
Saskatchewan,Far North,LA RONGE A,SK,4064155,Division No. 18 - La Ronge
Saskatchewan,North,PRINCE ALBERT A,SK,4056241,Division No. 15 - Prince Albert
Saskatchewan,Not Reported,,SK,,
Saskatchewan,Regina,REGINA INTL A,SK,4016566,Division No. 6 - Regina
Saskatchewan,Saskatoon,SASKATOON INTL A,SK,4057152,Division No. 11 - Saskatoon
Saskatchewan,South,MOOSE JAW A,SK,4015320,Division No. 7 - Moose Jaw
Yukon,Yukon,WHITEHORSE A,YT,2101303,Yukon
